x,y
50,3.8575425259968247E-4
60,3.8590726011121286E-5
70,1.3561766963703705E-4
80,3.593672999923943E-4
90,5.3296034942668414E-5
100,4.714877437678728E-5
110,1.3864504203715463E-5
120,5.077795451968853E-6
130,1.2444784119066057E-5
140,8.70546221050165E-6
150,2.297759032524522E-5
160,3.248017861487107E-5
170,2.948184350450009E-5
180,4.612647624325165E-6
190,9.0915656008127E-5
200,1.0328732584017876E-5
210,2.21933179301161E-5
220,1.4298919026797178E-5
230,4.118292723014777E-6
240,3.83601661129779E-6
250,1.116280708726516E-6
260,2.2647497147835664E-5
270,3.064663237776192E-5
280,1.4983714231755625E-6
290,1.8106450019258103E-6
300,2.3593603935092687E-5
310,4.829852522899002E-6
320,4.5010708793515235E-7
330,6.895468333369735E-6
340,9.105585193921361E-6
350,3.96556280372452E-5
360,9.668223419181848E-7
370,1.1981381915308737E-5
380,3.305791223646924E-6
390,9.214843237788662E-6
400,1.0296508299449401E-6
410,4.89006552141916E-6
420,4.794630425263665E-6
430,1.6240303393599462E-5
440,3.24369511536737E-7
450,1.362703688923734E-5
460,4.900278242127217E-6
470,1.4612704959673212E-5
480,1.0358582198748499E-5
490,5.4089444159563475E-6
500,5.516147065326871E-7
