1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
0.01	0	0.24	0.14	0.15	0.26	0.06	0.03	0.04	0.04	0.06	0.02	0.01	0.02	0	0	0.01	0.01	0	0	0
0.02	0.29	0.33	0.17	0.12	0.08	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	0.51	0.22	0.16	0.07	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.04	0.32	0.38	0.23	0.06	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.05	0.43	0.33	0.31	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.06	0.18	0.4	0.18	0.08	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.07	0.5	0.42	0.27	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.08	0.39	0.51	0.2	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.09	0.32	0.53	0.43	0.14	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01
0.1	0.36	0.55	0.39	0.24	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0
0.11	0.5	0.53	0.45	0.13	0.02	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.08	0.04
0.12	0.55	0.48	0.32	0.32	0.02	0	0	0	0	0	0	0	0	0	0.01	0.06	0.07	0.04	0.15	0.33
0.13	0.76	0.6	0.65	0.14	0.02	0	0	0	0	0	0	0	0	0.03	0.02	0.14	0.27	0.09	0.12	0.24
0.14	0.38	0.73	0.39	0.3	0.02	0	0	0	0	0	0.01	0.03	0.03	0.05	0.09	0.11	0.31	0.28	0.23	0.31
0.15	0.88	0.76	0.73	0.2	0	0	0	0.01	0	0.03	0	0.05	0.13	0.06	0.04	0.31	0.32	0.26	0.39	0.42
0.16	0.72	0.85	0.36	0.23	0.03	0	0	0.02	0.06	0.06	0.09	0.14	0.06	0.32	0.29	0.12	0.44	0.33	0.38	0.45
0.17	0.32	0.77	0.39	0.6	0.02	0.01	0.02	0.02	0.06	0.06	0.08	0.18	0.25	0.27	0.29	0.24	0.23	0.38	0.25	0.48
0.18	0.72	0.65	0.52	0.54	0.04	0	0.01	0.06	0.05	0.09	0.24	0.32	0.29	0.4	0.48	0.35	0.5	0.33	0.39	0.53
0.19	0.86	0.91	0.83	0.63	0	0.09	0.01	0.17	0.13	0.12	0.19	0.4	0.33	0.29	0.2	0.57	0.49	0.59	0.76	0.63
0.2	0.64	0.79	0.82	0.58	0.06	0.09	0.05	0.14	0.23	0.31	0.21	0.68	0.49	0.61	0.29	0.72	0.71	0.48	0.6	0.5
0.21	0.3	0.61	0.74	0.68	0.04	0.03	0.03	0.24	0.24	0.19	0.12	0.41	0.26	0.63	0.77	0.57	0.55	0.53	0.54	0.65
0.22	0.68	0.93	0.66	0.49	0.07	0.33	0.19	0.36	0.27	0.48	0.49	0.38	0.51	0.47	0.3	0.56	0.5	0.64	0.78	1.04
0.23	0.82	0.95	1	0.39	0.07	0.11	0.1	0.14	0.25	0.44	0.54	0.51	0.27	0.45	0.76	0.67	0.58	0.56	0.86	0.7
0.24	0.65	1	0.91	0.57	0.27	0.38	0.07	0.25	0.51	0.37	0.44	0.35	0.41	0.56	0.25	0.5	0.9	0.78	0.94	0.65
0.25	0.79	0.53	0.98	0.25	0.54	0.31	0.25	0.28	0.31	0.35	0.27	0.49	0.56	0.6	0.73	0.81	0.74	0.93	0.67	0.85
0.26	0.91	0.88	0.67	0.67	0.13	0.47	0.41	0.11	0.54	0.6	0.39	0.4	0.67	0.69	0.64	0.78	0.63	0.7	0.5	0.79
0.27	1.1	0.92	0.86	0.65	0.54	0.6	0.42	0.48	0.46	0.58	0.52	0.3	0.53	0.65	0.83	0.57	1.01	0.85	0.74	0.86
0.28	0.85	0.68	0.8	0.59	0.34	0.32	0.2	0.28	0.31	0.64	0.55	0.8	0.78	0.69	0.77	0.73	1.03	0.89	0.81	0.94
0.29	0.82	1.04	0.7	0.63	0.74	0.42	0.53	0.52	0.54	0.6	0.71	0.76	0.63	0.67	0.8	0.87	1.06	0.94	0.86	0.85
0.3	0.59	1.18	0.91	0.6	0.45	0.47	0.53	0.8	0.42	0.47	0.66	0.9	0.93	0.57	0.76	0.73	0.78	0.83	0.88	1.02
0.31	0.93	0.92	0.86	0.76	0.82	0.67	0.64	0.56	0.61	0.78	0.66	0.55	0.85	0.71	0.86	0.93	1.02	1.01	0.97	1.11
0.32	1.1	1.19	0.81	0.78	1.04	0.71	0.86	0.63	0.74	0.56	0.56	0.73	0.96	0.85	1.1	1.13	0.97	0.83	0.96	0.8
0.33	0.27	1.02	1.01	0.85	0.77	0.55	0.58	0.38	0.67	0.92	0.57	0.78	0.95	0.94	1.06	0.72	0.62	0.66	1.21	0.78
0.34	0.45	1.08	1.37	0.72	0.84	0.7	0.74	0.61	0.61	0.81	0.79	0.98	0.96	0.97	0.79	1.03	1.03	1.09	0.89	1
0.35	1.08	1.43	1.16	1.09	0.67	0.71	0.5	0.73	0.4	0.85	0.46	1.23	1.05	0.77	0.93	1.14	1.04	1.32	0.91	1.01
0.36	1.03	0.86	1.13	0.72	0.74	0.77	0.36	0.77	0.74	0.69	0.95	0.89	0.77	0.94	1.1	1.29	1.06	1.2	0.95	1.44
0.37	1.69	1.22	0.93	0.8	0.67	0.89	0.91	0.57	0.69	0.59	0.79	0.66	0.64	0.75	0.83	1.09	1.17	0.87	0.93	1.02
0.38	1.15	1.28	1.45	1.17	0.84	0.45	0.5	0.76	0.8	1.13	0.94	0.73	0.75	1.05	0.9	0.85	1.03	1.15	1.21	1.04
0.39	0.8	1.05	1.11	0.89	0.84	0.67	1.04	0.57	1.04	0.84	0.92	1.1	0.86	1.16	1.11	0.77	1.17	1.22	1.12	1.07
